Unnamed: 0,0,1,2,3,valid
0.0,2,3,1,3,0
1.0,7,3,1,1,1
2.0,1,5,4,3,0
3.0,3,6,0,3,0
4.0,1,3,3,1,1
5.0,4,6,0,1,0
6.0,7,3,0,3,0
7.0,2,3,1,4,0
8.0,7,3,2,3,0
9.0,4,0,4,1,1
10.0,6,1,0,3,0
11.0,1,1,4,0,1
12.0,5,3,1,3,0
13.0,2,3,0,2,0
14.0,5,3,0,3,0
15.0,1,2,1,3,0
16.0,3,4,1,3,0
17.0,7,3,1,3,0
18.0,1,0,0,3,0
19.0,3,3,3,3,1
20.0,7,3,3,1,1
21.0,6,3,0,3,0
22.0,4,3,3,4,0
23.0,0,6,2,1,0
24.0,3,3,1,0,1
25.0,1,2,0,1,1
26.0,7,6,1,1,0
27.0,1,0,4,1,1
28.0,5,0,3,3,0
29.0,1,1,4,1,1
30.0,1,6,4,1,0
31.0,1,3,4,2,0
32.0,7,0,1,3,0
33.0,3,1,3,3,1
34.0,1,3,4,3,1
35.0,7,0,0,3,0
36.0,3,2,0,3,0
37.0,5,6,1,3,0
38.0,1,3,3,3,0
39.0,3,1,1,1,1
40.0,1,6,3,1,0
41.0,1,6,4,2,0
42.0,2,6,4,2,0
43.0,2,4,3,3,0
44.0,6,3,4,2,0
45.0,7,3,4,2,1
46.0,3,3,4,0,1
47.0,0,5,4,3,0
48.0,5,6,2,3,0
49.0,1,4,3,1,1
50.0,0,3,2,1,1
51.0,1,3,2,1,1
52.0,7,3,0,1,1
53.0,6,5,4,2,1
54.0,4,4,2,1,1
55.0,2,6,1,3,0
56.0,3,6,1,3,0
57.0,3,3,1,4,0
58.0,4,2,3,4,0
59.0,7,6,1,3,0
60.0,7,3,0,2,0
61.0,2,3,2,1,1
62.0,1,5,4,1,1
63.0,1,3,0,1,1
64.0,5,3,3,3,0
65.0,5,2,0,3,0
66.0,5,3,4,2,1
67.0,3,0,2,3,1
68.0,7,3,4,1,1
69.0,6,3,1,3,0
70.0,1,0,3,1,1
71.0,5,3,0,2,1
72.0,4,0,4,3,0
73.0,1,2,4,2,1
74.0,3,5,1,4,1
75.0,3,3,0,3,0
76.0,7,3,1,2,1
77.0,6,3,3,1,1
78.0,6,3,4,1,1
79.0,2,3,1,1,1
80.0,6,3,0,1,1
81.0,2,3,4,2,1
82.0,3,3,1,1,1
83.0,7,5,1,1,1
84.0,4,3,4,0,1
85.0,7,3,3,3,0
86.0,3,5,2,3,0
87.0,2,3,0,1,1
88.0,2,5,2,3,0
89.0,4,3,4,2,0
90.0,3,5,3,3,0
91.0,1,5,3,1,1
92.0,1,1,3,1,1
93.0,1,2,3,1,1
94.0,1,0,2,1,1
95.0,7,5,3,3,0
96.0,0,0,3,1,1
97.0,1,0,0,1,1
98.0,7,5,2,3,0
99.0,4,5,1,4,1
100.0,5,5,3,3,0
101.0,1,6,0,1,0
102.0,1,4,2,3,0
103.0,7,1,3,3,0
104.0,6,3,0,2,1
105.0,7,6,0,3,0
106.0,6,5,2,3,0
107.0,7,1,1,1,1
108.0,7,4,1,1,1
109.0,4,6,0,4,1
110.0,6,3,2,1,1
111.0,2,5,0,3,0
112.0,0,1,2,1,1
113.0,1,4,1,1,1
114.0,7,3,2,1,1
115.0,4,6,3,1,0
116.0,6,6,4,3,0
117.0,1,2,3,3,0
118.0,1,3,1,1,1
119.0,7,0,1,1,1
120.0,4,5,4,2,1
121.0,4,4,3,1,1
122.0,0,2,1,1,0
123.0,4,5,4,1,1
124.0,5,3,4,0,1
125.0,5,6,0,3,0
126.0,0,5,2,1,1
127.0,1,2,0,3,0
128.0,1,5,2,3,0
129.0,4,4,4,1,1
130.0,0,3,1,1,0
131.0,0,1,1,1,0
132.0,6,3,3,3,0
133.0,6,4,4,3,0
134.0,1,6,1,3,0
135.0,3,6,1,1,0
136.0,4,4,0,4,0
137.0,2,3,4,4,0
138.0,1,3,4,0,1
139.0,7,5,0,3,0
140.0,1,1,1,1,1
141.0,4,2,3,1,1
142.0,3,3,1,3,0
143.0,3,2,1,2,0
144.0,0,3,1,3,0
145.0,0,1,0,3,0
146.0,7,6,0,1,0
147.0,1,5,1,3,0
148.0,4,4,0,1,1
149.0,4,1,3,1,1
150.0,2,5,1,3,0
151.0,1,3,1,3,0
152.0,1,2,1,1,1
153.0,1,5,1,1,1
154.0,0,4,3,1,1
155.0,2,4,4,0,1
156.0,7,3,4,3,0
157.0,6,3,1,1,1
158.0,2,3,3,4,1
159.0,4,5,3,1,1
160.0,7,4,0,3,0
161.0,3,2,0,2,0
162.0,0,6,3,1,0
163.0,3,2,1,3,0
164.0,3,5,1,1,1
165.0,7,2,4,3,0
166.0,1,6,1,1,0
167.0,3,1,1,4,1
,15,12,13,43,0
,13,8,17,56,0
,5,1,3,41,0
,12,10,34,79,0
,19,16,32,23,0
,8,8,4,32,0
,25,13,36,34,0
,4,6,21,5,0
,2,13,25,45,0
,18,11,36,60,0
,23,8,15,30,0
,5,4,23,24,0
,13,10,13,14,0
,9,7,0,11,0
,24,6,15,70,0
,20,16,37,5,0
,26,1,12,44,0
,0,10,32,79,0
,8,10,21,78,0
,20,12,24,64,0
,9,13,19,14,0
,26,15,19,24,0
,9,17,25,54,0
,19,7,12,49,0
,3,10,3,4,0
,22,18,21,23,0
,22,11,37,73,0
,22,7,17,2,0
,4,19,12,76,0
,12,17,39,29,0
,14,9,32,45,0
,23,15,30,39,0
,8,3,4,50,0
,25,18,39,19,0
,25,14,10,80,0
,21,15,1,39,0
,6,11,23,26,0
,8,12,20,22,0
,19,18,37,25,0
,24,15,13,57,0
,14,2,36,46,0
,23,17,24,68,0
,9,7,12,21,0
,26,3,18,53,0
,14,9,33,12,0
,25,1,36,46,0
,19,7,16,35,0
,19,13,30,51,0
,19,9,27,29,0
,15,17,12,16,0
,3,18,30,78,0
,21,3,28,39,0
,1,5,37,22,0
,2,10,5,76,0
,17,4,1,26,0
,15,15,35,21,0
,18,9,24,5,0
,1,6,1,25,0
,5,7,36,66,0
,8,15,10,62,0
,11,4,24,33,0
,3,1,38,1,0
,24,10,40,18,0
,0,7,6,63,0
,14,7,9,15,0
,9,11,27,67,0
,5,13,27,31,0
,9,10,26,79,0
,18,10,23,49,0
,14,19,36,17,0
,14,13,36,18,0
,1,6,40,47,0
,6,19,12,23,0
,16,19,31,3,0
,25,4,7,70,0
,23,12,29,27,0
,2,16,16,54,0
,0,16,10,28,0
,15,2,1,23,0
,3,13,25,17,0
,21,0,31,14,0
,20,6,13,0,0
,18,6,27,16,0
,18,12,17,2,0
,5,5,32,27,0
,13,13,40,71,0
,3,10,32,81,0
,7,9,22,48,0
,14,13,23,15,0
,4,19,37,5,0
,2,0,4,62,0
,7,15,0,67,0
,14,6,20,3,0
,21,4,12,58,0
,26,16,27,32,0
,4,7,39,14,0
,0,9,20,28,0
,8,2,14,78,0
,20,16,30,44,0
,21,18,14,30,0
,12,13,14,43,0
,13,7,22,55,0
,9,9,30,55,0
,6,5,36,67,0
