GUID,AnalysisError,Interferences,Ixx,iyy,Izz,MassEstimate,Battery_amps_to_max_amps_ratio_at_MFD,Battery_amps_to_max_amps_ratio_at_MxSpd,Distance_at_MxSpd__m_,Max_Flight_Distance__m_,Max_Hover_Time__s,Max_Lateral_Speed__m_s_,Max_uc_at_MFD,Motor_amps_to_max_amps_ratio_at_MFD,Motor_amps_to_max_amps_ratio_at_MxSpd,Motor_power_to_max_power_ratio_at_MFD,Motor_power_to_max_power_ratio_at_MxSpd,Power_at_MFD__W_,Power_at_MxSpd__W_,Speed_at_MFD__m_s_,ArmLength,BatteryOffset_X,BatteryOffset_z,SupportLength
a58401fb-b188-4827-a488-bc1c9052e787,FALSE,0,17002.56868,17002.57497,33324.44647,0.461452678,0.182454199,0.182454199,1052.31897,1052.31897,201.194168,5,0.7076267,0.108342521,0.108342521,7.52E-02,7.52E-02,71.8925018,71.8925018,5,317.8968515,0.615705282,0.285819953,132.8886093
0a617fe9-5b94-47e4-a602-776b4fcfe2af,FALSE,0,18593.09795,18593.11887,36385.59562,0.466839807,0.183133155,0.183133155,1048.41748,1048.41748,199.612015,5,0.70959872,0.108747751,0.108747751,7.54E-02,7.54E-02,72.3577728,72.3577728,5,329.8446126,0.712183239,0.830336953,144.6598947
7802fd68-435b-4f67-a163-385cd6270795,FALSE,0,7576.555755,7576.535206,14318.86976,0.441314306,0.189219832,0.189219832,1217.63135,1217.63135,207.336594,6,0.726641595,0.112396576,0.112396576,7.80E-02,7.80E-02,76.5202255,76.5202255,6,214.265777,-1.912976053,0.331670246,147.8522402
da56005d-2372-48db-928f-c03c7166c1fb,FALSE,0,11297.05638,11297.0103,21737.86886,0.452023855,0.189621121,0.189621121,1215.05444,1215.05444,204.024307,6,0.727642298,0.112619318,0.112619318,7.81E-02,7.81E-02,76.7950516,76.7950516,6,259.5721741,-1.616198786,0.883392112,149.6990266
5d3aba0c-f58d-454f-b5ad-d9446febdab0,FALSE,0,9692.028518,9692.041104,18617.2215,0.446276844,0.182733342,0.182733342,1050.71143,1050.71143,205.788544,5,0.709469855,0.108519793,0.108519793,7.53E-02,7.53E-02,72.1819916,72.1819916,5,242.3048649,0.976312958,0.370953875,141.6627606
ba1d0c7b-3cdd-4635-ba1a-97657c153b4b,FALSE,0,8225.639871,8225.600068,15605.45894,0.443490844,0.183072999,0.183072999,1048.76196,1048.76196,206.654785,5,0.710976422,0.108738035,0.108738035,7.54E-02,7.54E-02,72.4593277,72.4593277,5,222.8513938,-1.680668541,0.733538192,148.8497246
762b6b68-14bb-47b1-8e7b-3de2c986adb0,FALSE,0,6878.445627,6878.446232,12992.33944,0.437845398,0.200527042,0.200527042,1340.46753,1340.46753,208.432556,7,0.759309292,0.119069032,0.119069032,8.26E-02,8.26E-02,84.7213516,84.7213516,7,205.3304391,-0.260683367,-0.084603967,141.514288
24362edc-4029-4bfa-a110-b96f2dc9b46e,FALSE,0,27059.07515,27059.06722,53270.57333,0.482105388,0.190274209,0.190274209,1210.88403,1210.88403,195.260345,6,0.729414761,0.112983398,0.112983398,7.84E-02,7.84E-02,77.2572937,77.2572937,6,392.9462106,0.322917008,-0.64673888,148.7712786
ea556bf4-8524-4563-b378-8f3379047fd7,FALSE,0,22145.09719,22145.14167,43604.36842,0.471096105,0.182621747,0.182621747,1051.35339,1051.35339,198.379395,5,0.707848012,0.108458415,0.108458415,7.52E-02,7.52E-02,71.9723663,71.9723663,5,359.9032688,1.933716649,0.675487276,133.3413363
5e347127-1550-41d2-b989-8afad5f88b31,FALSE,0,15409.43556,15409.41812,30108.95707,0.458775405,0.201549828,0.201549828,1333.66528,1333.66528,201.989792,7,0.763466239,0.119689688,0.119689688,8.30E-02,8.30E-02,85.6079941,85.6079941,7,303.043688,-1.115370024,0.490488116,135.9539796
9277b872-70f4-4027-8e7f-a16a04f1fd8c,FALSE,0,10064.56338,10064.58986,19337.82772,0.447724232,0.201283738,0.201283738,1335.42834,1335.42834,205.341354,7,0.76206553,0.119535252,0.119535252,8.29E-02,8.29E-02,85.3378601,85.3378601,7,246.3988934,0.755160483,0.995967929,143.9414515
10345c03-3768-4769-9e85-cc48c66119c6,FALSE,0,23642.82353,23642.814,46547.9282,0.474661393,0.189673826,0.189673826,1214.71692,1214.71692,197.358505,6,0.727682292,0.112627521,0.112627521,7.81E-02,7.81E-02,76.8323135,76.8323135,6,370.3320016,0.39671554,-0.647756072,138.6102438
9b013457-3fd8-4403-8d54-4b3b5e29acdb,FALSE,0,7888.238967,7888.242345,15067.50989,0.439984642,0.182328686,0.182328686,1053.04333,1053.04333,207.755325,5,0.708646417,0.108279459,0.108279459,7.51E-02,7.51E-02,71.9394226,71.9394226,5,220.2237704,0.065578474,0.914925093,136.0398581
b27f1ea2-ec39-4070-b2cc-cf93235ca04b,FALSE,0,27264.12621,27264.12104,53884.14267,0.478575392,0.182531536,0.182531536,1051.87305,1051.87305,196.249741,5,0.707268834,0.108386375,0.108386375,7.52E-02,7.52E-02,71.8881302,71.8881302,5,397.4663871,0.641313164,-0.226230565,128.7088448
ac974896-4581-4871-9699-a7b2e6c446db,FALSE,0,15777.62564,15777.65054,30829.66234,0.459854941,0.182675362,0.182675362,1051.0448,1051.0448,201.668228,5,0.708493412,0.108487666,0.108487666,7.53E-02,7.53E-02,72.0597229,72.0597229,5,306.2184761,1.433732155,0.506354051,137.5322908
baaf2306-7bad-495e-abae-0f3d30eb8e65,FALSE,0,12666.6041,12666.54853,24553.25458,0.454012085,0.241717413,0.241717413,1429.76868,1429.76868,203.420944,9,0.875697792,0.143566132,0.143566132,9.96E-02,9.96E-02,117.590309,117.590309,9,275.193305,1.761730679,-0.925638221,142.831892
e8b9bad1-d2ea-4af1-9225-4bbcb55243a5,FALSE,0,14873.33858,14873.33337,29112.5476,0.456047797,0.188771322,0.188771322,1220.52441,1220.52441,202.806839,6,0.72509408,0.112097368,0.112097368,7.78E-02,7.78E-02,76.19487,76.19487,6,299.1496902,-0.233262507,0.835861947,127.838564
3f22a2f0-a1e4-4d01-a23f-16cd94fc38f3,FALSE,0,7470.034143,7470.026532,14297.49597,0.437312639,0.200139254,0.200139254,1343.06494,1343.06494,208.601898,7,0.758517921,0.118853174,0.118853174,8.25E-02,8.25E-02,84.4630356,84.4630356,7,215.4839279,-0.806379989,0.301721818,129.0151106
a28a878d-1d3c-4380-936c-9e21c224e2d4,FALSE,0,6714.485182,6714.526661,12815.52504,0.434222066,0.187993437,0.187993437,1225.57471,1225.57471,209.589706,6,0.723032117,0.111655459,0.111655459,7.75E-02,7.75E-02,75.6572571,75.6572571,6,205.1404289,-1.335174655,-0.969987371,125.7510955
01980b29-b362-4913-948e-cb35e0fb0ab1,FALSE,0,8689.482823,8689.462853,16782.02608,0.439947534,0.181678981,0.181678981,1056.80908,1056.80908,207.767029,5,0.706445217,0.107904717,0.107904717,7.49E-02,7.49E-02,71.4573593,71.4573593,5,232.3821005,-1.507774829,0.411725874,123.7181421
781dc681-ba29-4b60-aba8-b2a1d043e9cc,FALSE,0,17513.04833,17513.07622,34245.10127,0.464401576,0.189616635,0.189616635,1215.08325,1215.08325,200.325027,6,0.72760272,0.112611189,0.112611189,7.81E-02,7.81E-02,76.7918777,76.7918777,6,320.9094452,1.613296477,0.505587546,142.8597496
1776bc3b-b8f2-4ca1-9f8d-32b20b8243b9,FALSE,0,6603.894127,6603.900768,12633.14342,0.432937031,0.18774204,0.18774204,1227.21582,1227.21582,210.003174,6,0.722386479,0.11152409,0.11152409,7.74E-02,7.74E-02,75.4801941,75.4801941,6,204.1186221,-1.995517433,-0.102687931,121.1150083
089d7e4d-4822-4146-ba6d-08a39cd11521,FALSE,0,22673.71159,22673.7323,44686.92576,0.471477688,0.181690559,0.181690559,845.393433,845.393433,198.269623,4,0.710259795,0.107898265,0.107898265,7.49E-02,7.49E-02,71.8501892,71.8501892,4,364.31664,1.373206045,0.438745134,130.60804
4d69f9ac-174c-456d-bf84-2711e864d479,FALSE,0,25498.29073,25498.33393,50294.70346,0.476997135,0.182107866,0.182107866,843.456177,843.456177,196.695328,4,0.711275756,0.108144425,0.108144425,7.50E-02,7.50E-02,72.1179123,72.1179123,4,384.2597104,1.338490515,0.93773801,134.9665974
a9c340aa-c4e1-4a63-9c1e-49c1bdca2d48,FALSE,0,9465.468538,9465.498457,18194.20528,0.445091797,0.182561666,0.182561666,1051.69946,1051.69946,206.156113,5,0.709032774,0.108428299,0.108428299,7.52E-02,7.52E-02,72.0648956,72.0648956,5,239.9814826,1.447336418,0.60369854,138.7684894
7517c332-9179-4b4f-b963-e9a3696f49f0,FALSE,0,18129.28573,18129.2586,35422.94861,0.466559184,0.183292672,0.183292672,1047.505,1047.505,199.693817,5,0.710182965,0.108853444,0.108853444,7.55E-02,7.55E-02,72.4741135,72.4741135,5,325.4581486,-1.585042504,0.529969002,147.8107976
